Produk,Harga_Produk,Produk_Terjual,Lokasi_Toko,E-Commerce
Infinix Smart 9 HD 8/64 Gb - Smartphone dengan Bluetooth,690000.0,100.0,jakarta selatan (kota),tokopedia
"[NEW LAUNCH] vivo Y400 - AMOLED 120Hz Ultra Terang, IP68/69 Tahan Air Ekstrem, 50MP Sony Kamera Underwater, 6000mAh Tahan 2 Hari",1049038.0,100.0,tangerang (kabupaten),tokopedia
Infinix Hot 50i 6+6/128GB [Garansi Resmi],1799000.0,1.0,palembang (kota),tokopedia
Handphone-Infinix Hot 50 Pro 12/256 Smartphone Android ponsel,1419616.0,3.0,bandung barat (kabupaten),tokopedia
iphone 11 64gb ibox,1402358.0,12.0,karawang (kabupaten),tokopedia
Infinix Smart 9 4+4/128 New Garansi Resmi,1219836.0,6.0,lumajang (kabupaten),tokopedia
Apple iPhone 11 64GB 128GB 256GB Second Original Fullset Bergaransi,1610975.0,100.0,surabaya (kota),tokopedia
"(NEW) SAMSUNG GALAXY Z FLIP 6 12/512GB 12/256GB, Blue Yellow Mint Silver Shadow (100% Garansi Resmi Sein)",8599900.0,40.0,jakarta barat (kota),tokopedia
Handphone Samsng Galaxy S26 Ultra Gaming HP murah Asli- 7.5Inch 16GB RAM + 1TB ROM 50MP + 108MP HD Kamera 8000mAh Fast Charge,1202111.0,5.0,surabaya (kota),tokopedia
REALME C55 NFC 8/256 6/128 GB | REALME C 55 8/128 GARANSI RESMI REALME,1498000.0,250.0,jakarta barat (kota),tokopedia
[2025 NEW]  XS16 HP 4GMini Android ram 12/512G Smartphone jaringan 4G Garansi Termurah XS16,690000.0,21.0,jakarta barat (kota),tokopedia
HP XIAOMI 6A,1799000.0,17.0,tangerang selatan (kota),tokopedia
Iphone 15 Pro max 256gb Gold mati total,1402358.0,1.0,palembang (kota),tokopedia
"Smartphone NOTE 14 Layar HD 6,8 inci Android 13.0 16GB RAM + 1TB ROM",1019518.0,6.0,jakarta barat (kota),tokopedia
"Second Like New Original iPhone 12 Mini 64GB/128GB/256GB, FullsetMulus",1308806.0,40.0,malang (kota),tokopedia
NEW HP/Handphone nokia 150 jadul murah Tahun 2013- Garansi distributor,1446943.0,60.0,tangerang selatan (kota),tokopedia
Smartphone Neo 6 Slot kartu SIM ganda Layar melengkung layar penuh Biaya super 6800MAh 16GB RAM + 1TB ROM,1011524.0,30.0,jakarta barat (kota),tokopedia
spark go1 4/128 vral hp murah,4908000.0,1.0,tangerang (kabupaten),tokopedia
[Harga Partner]  S.25 Ultra HP Flagship 7.3 Inch 8000mAh Fast Charging 72MP+108MP Portrait Mode AI 16GB+1TB Minimal 3 Unit Bisa COD,1401691.0,100.0,tangerang (kabupaten),tokopedia
BISA COD Hadiah Gratis NEW Androld S24 16GB/512GB6000mAh Smartphone Caransi 1Tahun Dengan Kualitas 5G &Bluetooth Diskon Super Garansi 12 Bulan,999000.0,5.0,jakarta barat (kota),tokopedia
Ncta 60X Smartphone Android 14 7.3-inch Dual SlM48MP+108MP 5G Phone Sale,1320629.0,6.0,tangerang (kabupaten),tokopedia
[BARU] OPPO A6t Online Exclusive 4GB+64/128GB & 6GB+128GB (Garansi Resmi),1799000.0,750.0,tangerang (kota),tokopedia
PROMO!! Hp ￼9A 6/128GB 6.53inch 5000Mah New Ponsel Handphone murah promo,1149980.0,2.0,jakarta pusat (kota),tokopedia
Handphone-Infinix Hot 50 Pro 12/256 Smartphone Android ponsel,1311167.0,3.0,bandung barat (kabupaten),tokopedia
ZTE NUBIA NEO 5G 18/256GB Hp Gaming Terbaik Dikelasnya,1310841.0,3.0,tangerang (kabupaten),tokopedia
Xiaomi Poco F8 Series | Poco F8 Pro 12/512GB | Poco F8 Ultra 16/512GB Original New Garansi RESMI Indonesia Pocophone,1627844.0,1.0,batam (kota),tokopedia
NEW HP/Handphone nokia 150 jadul murah Tahun 2013- Garansi distributor,1446943.0,60.0,tangerang selatan (kota),tokopedia
Smartphone Neo 6 Slot kartu SIM ganda Layar melengkung layar penuh Biaya super 6800MAh 16GB RAM + 1TB ROM,1011524.0,30.0,jakarta barat (kota),tokopedia
spark go1 4/128 vral hp murah,4908000.0,1.0,tangerang (kabupaten),tokopedia
[Harga Partner]  S.25 Ultra HP Flagship 7.3 Inch 8000mAh Fast Charging 72MP+108MP Portrait Mode AI 16GB+1TB Minimal 3 Unit Bisa COD,1401691.0,100.0,tangerang (kabupaten),tokopedia
